"label","l","p","s","defined","selected","visible","locked","description"
"resampledCurve1-89",13.8522,-182.521,61.5999,1,1,1,0,""
"resampledCurve1-90",13.8814,-182.504,61.6035,1,1,1,0,""
"resampledCurve1-91",13.9106,-182.487,61.6071,1,1,1,0,""
"resampledCurve1-92",13.9398,-182.47,61.6107,1,1,1,0,""
"resampledCurve1-93",13.969,-182.453,61.6143,1,1,1,0,""
"resampledCurve1-94",13.9982,-182.436,61.6179,1,1,1,0,""
"resampledCurve1-95",14.0274,-182.419,61.6215,1,1,1,0,""
"resampledCurve1-96",14.0566,-182.402,61.6251,1,1,1,0,""
"resampledCurve1-97",14.0857,-182.386,61.6287,1,1,1,0,""
"resampledCurve1-98",14.1149,-182.369,61.6324,1,1,1,0,""
"resampledCurve1-99",14.1441,-182.352,61.636,1,1,1,0,""
"resampledCurve1-100",14.1733,-182.335,61.6396,1,1,1,0,""
"resampledCurve1-101",14.2025,-182.318,61.6432,1,1,1,0,""
"resampledCurve1-102",14.2317,-182.301,61.6468,1,1,1,0,""
"resampledCurve1-103",14.2609,-182.284,61.6504,1,1,1,0,""
"resampledCurve1-104",14.2901,-182.267,61.654,1,1,1,0,""
"resampledCurve1-105",14.3193,-182.25,61.6576,1,1,1,0,""
"resampledCurve1-106",14.3485,-182.233,61.6613,1,1,1,0,""
"resampledCurve1-107",14.3777,-182.216,61.6649,1,1,1,0,""
"resampledCurve1-108",14.4066,-182.199,61.6685,1,1,1,0,""
"resampledCurve1-109",14.4301,-182.174,61.6726,1,1,1,0,""
"resampledCurve1-110",14.4535,-182.15,61.6766,1,1,1,0,""
"resampledCurve1-111",14.4769,-182.126,61.6807,1,1,1,0,""
"resampledCurve1-112",14.5004,-182.102,61.6847,1,1,1,0,""
"resampledCurve1-113",14.5238,-182.077,61.6888,1,1,1,0,""
"resampledCurve1-114",14.5472,-182.053,61.6928,1,1,1,0,""
"resampledCurve1-115",14.5707,-182.029,61.6969,1,1,1,0,""
"resampledCurve1-116",14.5941,-182.005,61.7009,1,1,1,0,""
"resampledCurve1-117",14.6176,-181.98,61.705,1,1,1,0,""
"resampledCurve1-118",14.641,-181.956,61.709,1,1,1,0,""
"resampledCurve1-119",14.6644,-181.932,61.7131,1,1,1,0,""
"resampledCurve1-120",14.6879,-181.908,61.7171,1,1,1,0,""
"resampledCurve1-121",14.7113,-181.884,61.7212,1,1,1,0,""
